circuito,subcircuito,distrito,zona,canton,codigo_canton,provincia,codigo_provincia
PUERTO AGUAJE,PUERTO AGUAJE 2,LIBERTAD SALINAS,ZONA 5,SALINAS,2403,SANTA ELENA,24
KENNEDY,KENNEDY 1,TULCÁN,ZONA 1,TULCÁN,401,CARCHI,4
INDANZA,INDANZA 1,MÉNDEZ,ZONA 6,LIMÓN INDANZA,1403,MORONA SANTIAGO,14
AMALUZA,AMALUZA 1,ESPÍNDOLA,ZONA 7,ESPÍNDOLA,1106,LOJA,11
ATARAZANA,ATARAZANA 4,MODELO,ZONA 8,GUAYAQUIL,901,GUAYAS,9
MULALILLO,MULALILLO 1,SALCEDO,ZONA 3,SALCEDO,505,COTOPAXI,5
PUENGASÍ,PUENGASÍ 1,MANUELA SÁENZ,ZONA 9,QUITO,1701,PICHINCHA,17
SANTA ROSA,SANTA ROSA 1,LOS CHILLOS,ZONA 9,QUITO,1701,PICHINCHA,17
TURUBAMBA,TURUBAMBA 2,QUITUMBE,ZONA 9,QUITO,1701,PICHINCHA,17
LOS BANCOS,LOS BANCOS 4,NOROCCIDENTE,ZONA 2,SAN MIGUEL DE LOS BANCOS,1707,PICHINCHA,17
UNIÓN DE BANANEROS,UNIÓN DE BANANEROS 3,SUR - DMG,ZONA 8,GUAYAQUIL,901,GUAYAS,9
SALINAS,SALINAS 2,PORTETE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
ESTEROS,ESTEROS 4,ESTEROS,ZONA 8,GUAYAQUIL,901,GUAYAS,9
COLIMES,COLIMES 2,BALZAR,ZONA 5,COLIMES,905,GUAYAS,9
BELLAVISTA,BELLAVISTA 6,FLORIDA,ZONA 8,GUAYAQUIL,901,GUAYAS,9
NUEVA AMBATO,NUEVA AMBATO 2,AMBATO SUR,ZONA 3,AMBATO,1801,TUNGURAHUA,18
SININCAY,SININCAY 1,CUENCA NORTE,ZONA 6,CUENCA,101,AZUAY,1
TONSUPA,TONSUPA 1,ATACAMES,ZONA 1,ATACAMES,806,ESMERALDAS,8
ARCÁNGEL,ARCÁNGEL 2,CIUDAD BLANCA,ZONA 1,IBARRA,1001,IMBABURA,10
GUANGAJE,GUANGAJE 1,DANSANTE,ZONA 3,PUJILÍ,504,COTOPAXI,5
PERUCHO,PERUCHO 1,LA DELICIA,ZONA 9,QUITO,1701,PICHINCHA,17
NUEVO QUITO,NUEVO QUITO 1,PAQUISHA,ZONA 7,PAQUISHA,1909,ZAMORA CHINCHIPE,19
LORETO,LORETO 2,ORELLANA LORETO,ZONA 2,LORETO,2204,ORELLANA,22
PAUTE,PAUTE 1,PAUTE,ZONA 6,PAUTE,105,AZUAY,1
GUAYZIMI,GUAYZIMI 1,PAQUISHA,ZONA 7,NANGARITZA,1903,ZAMORA CHINCHIPE,19
VICTORIA,VICTORIA 2,9 DE OCTUBRE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
CALCETA CENTRO,CALCETA CENTRO 1,BOLÍVAR JUNÍN,ZONA 4,BOLÍVAR,1302,MANABÍ,13
CENTRO,CENTRO 2,BABAHOYO,ZONA 5,BABAHOYO,1201,LOS RÍOS,12
SANTA ELENA CENTRO,SANTA ELENA CENTRO 4,SANTA ELENA,ZONA 5,SANTA ELENA,2401,SANTA ELENA,24
DAYUMA,DAYUMA 2,ORELLANA LORETO,ZONA 2,FRANCISCO DE ORELLANA,2201,ORELLANA,22
LA PRADERA,LA PRADERA 1,MANTA,ZONA 4,MANTA,1308,MANABÍ,13
PALMIRA,PALMIRA 1,COLTA,ZONA 3,GUAMOTE,606,CHIMBORAZO,6
MENA,MENA 2,ELOY ALFARO - DMQ,ZONA 9,QUITO,1701,PICHINCHA,17
ABEL GILBERT,ABEL GILBERT 3,DURÁN,ZONA 8,DURÁN,907,GUAYAS,9
CHIMBO,CHIMBO 1,SAN MIGUEL,ZONA 5,CHIMBO,203,BOLÍVAR,2
CONOCOTO NORTE,CONOCOTO NORTE 1,LOS CHILLOS,ZONA 9,QUITO,1701,PICHINCHA,17
COCA OCCIDENTE,COCA OCCIDENTE 5,ORELLANA LORETO,ZONA 2,FRANCISCO DE ORELLANA,2201,ORELLANA,22
PROPICIA,PROPICIA 1,ESMERALDAS,ZONA 1,ESMERALDAS,801,ESMERALDAS,8
EL BOSQUE,EL BOSQUE 5,EUGENIO ESPEJO,ZONA 9,QUITO,1701,PICHINCHA,17
EL ÁNGEL,EL ÁNGEL 1,ESPEJO,ZONA 1,ESPEJO,403,CARCHI,4
TURUBAMBA,TURUBAMBA 5,QUITUMBE,ZONA 9,QUITO,1701,PICHINCHA,17
WILFRIDO LOOR MOREIRA,WILFRIDO LOOR MOREIRA 1,EL CARMEN,ZONA 4,EL CARMEN,1304,MANABÍ,13
RECREO,RECREO 8,DURÁN,ZONA 8,DURÁN,907,GUAYAS,9
EL VECINO,EL VECINO 2,CUENCA NORTE,ZONA 6,CUENCA,101,AZUAY,1
EL TRIUNFO CENTRO,EL TRIUNFO CENTRO 1,EL TRIUNFO BUCAY,ZONA 5,EL TRIUNFO,909,GUAYAS,9
SANTA ANA DE VUELTA LARGA,SANTA ANA DE VUELTA LARGA 1,24 DE MAYO,ZONA 4,SANTA ANA,1313,MANABÍ,13
PUERTO QUITO NORTE,PUERTO QUITO NORTE 1,NOROCCIDENTE,ZONA 2,PUERTO QUITO,1709,PICHINCHA,17
PALALACHE,PALALACHE 1,CHONE,ZONA 4,FLAVIO ALFARO,1305,MANABÍ,13
AEROPUERTO,AEROPUERTO 1,EUGENIO ESPEJO,ZONA 9,QUITO,1701,PICHINCHA,17
ITCHIMBIA,ITCHIMBIA 4,MANUELA SÁENZ,ZONA 9,QUITO,1701,PICHINCHA,17
CAYAMBE,CAYAMBE 2,CUENCA SUR,ZONA 6,CUENCA,101,AZUAY,1
MONTE BELLO,MONTE BELLO 4,PASCUALES,ZONA 8,GUAYAQUIL,901,GUAYAS,9
PUERTO QUITO NORTE,PUERTO QUITO NORTE 2,NOROCCIDENTE,ZONA 2,PUERTO QUITO,1709,PICHINCHA,17
BAHÍA,BAHÍA 1,SUCRE,ZONA 4,SUCRE,1314,MANABÍ,13
AYACUCHO,AYACUCHO 1,24 DE MAYO,ZONA 4,SANTA ANA,1313,MANABÍ,13
NOBOL,NOBOL 1,DAULE,ZONA 5,NOBOL,925,GUAYAS,9
BELLA MARÍA,BELLA MARÍA 1,SANTA ROSA,ZONA 7,SANTA ROSA,712,EL ORO,7
EL ROSARIO,EL ROSARIO 1,EMPALME,ZONA 5,EL EMPALME,908,GUAYAS,9
TURUBAMBA,TURUBAMBA 1,QUITUMBE,ZONA 9,QUITO,1701,PICHINCHA,17
NUEVO ROCAFUERTE,NUEVO ROCAFUERTE 1,AGUARICO,ZONA 2,AGUARICO,2202,ORELLANA,22
MONTALVO,MONTALVO 2,RÍO VERDE,ZONA 1,RIOVERDE,807,ESMERALDAS,8
MONTAÑITA,MONTAÑITA 1,SANTA ELENA,ZONA 5,SANTA ELENA,2401,SANTA ELENA,24
ABEL GILBERT,ABEL GILBERT 1,DURÁN,ZONA 8,DURÁN,907,GUAYAS,9
CASACAY,CASACAY 1,PASAJE,ZONA 7,PASAJE,709,EL ORO,7
INGAURCO,INGAURCO 1,AMBATO NORTE,ZONA 3,AMBATO,1801,TUNGURAHUA,18
BUENA VISTA,BUENA VISTA 2,PASAJE,ZONA 7,PASAJE,709,EL ORO,7
SAN SEBASTIÁN,SAN SEBASTIÁN 2,LA JOYA DE LOS SACHAS,ZONA 2,LA JOYA DE LOS SACHAS,2203,ORELLANA,22
FLORESTA,FLORESTA 3,SUR - DMG,ZONA 8,GUAYAQUIL,901,GUAYAS,9
CUBA,CUBA 3,MANTA,ZONA 4,MANTA,1308,MANABÍ,13
MALDONADO,MALDONADO 1,NOROCCIDENTE,ZONA 2,PEDRO VICENTE MALDONADO,1708,PICHINCHA,17
CHILE,CHILE 1,9 DE OCTUBRE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
COTOCOLLAO,COTOCOLLAO 2,LA DELICIA,ZONA 9,QUITO,1701,PICHINCHA,17
PUEBLO NUEVO,PUEBLO NUEVO 1,QUININDÉ,ZONA 1,QUININDÉ,804,ESMERALDAS,8
PEDERNALES NORTE,PEDERNALES NORTE 1,PEDERNALES,ZONA 4,PEDERNALES,1317,MANABÍ,13
LOS BAJOS,LOS BAJOS 1,MANTA,ZONA 4,MONTECRISTI,1309,MANABÍ,13
PATRICIA PILAR,PATRICIA PILAR 2,BUENA FE,ZONA 5,BUENA FE,1210,LOS RÍOS,12
MONTE SINAÍ,MONTE SINAÍ 4,NUEVA PROSPERINA,ZONA 8,GUAYAQUIL,901,GUAYAS,9
LIMONAL,LIMONAL 2,DAULE,ZONA 5,DAULE,906,GUAYAS,9
CUBE,CUBE 1,QUININDÉ,ZONA 1,QUININDÉ,804,ESMERALDAS,8
CONOCOTO NORTE,CONOCOTO NORTE 5,LOS CHILLOS,ZONA 9,QUITO,1701,PICHINCHA,17
BALSAPAMBA,BALSAPAMBA 2,SAN MIGUEL,ZONA 5,SAN MIGUEL,205,BOLÍVAR,2
EL CALZADO,EL CALZADO 1,ELOY ALFARO - DMQ,ZONA 9,QUITO,1701,PICHINCHA,17
CENTRO,CENTRO 1,MILAGRO,ZONA 5,MILAGRO,910,GUAYAS,9
RAYITO DE LUZ,RAYITO DE LUZ 2,MACHALA,ZONA 7,MACHALA,701,EL ORO,7
LOS LLANOS,LOS LLANOS 1,CALDERÓN,ZONA 9,QUITO,1701,PICHINCHA,17
7 LAGOS,7 LAGOS 3,SUR - DMG,ZONA 8,GUAYAQUIL,901,GUAYAS,9
ATOCHA FICOA,ATOCHA FICOA 1,AMBATO NORTE,ZONA 3,AMBATO,1801,TUNGURAHUA,18
ALBORADA,ALBORADA 6,MODELO,ZONA 8,GUAYAQUIL,901,GUAYAS,9
PUNIN,PUNIN 1,RIOBAMBA,ZONA 3,RIOBAMBA,601,CHIMBORAZO,6
TORATA,TORATA 1,SANTA ROSA,ZONA 7,SANTA ROSA,712,EL ORO,7
EL FLORÓN,EL FLORÓN 4,PORTOVIEJO,ZONA 4,PORTOVIEJO,1301,MANABÍ,13
CHILE,CHILE 3,9 DE OCTUBRE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
CENTRO HISTÓRICO,CENTRO HISTÓRICO 1,MANUELA SÁENZ,ZONA 9,QUITO,1701,PICHINCHA,17
PÍLLARO,PÍLLARO 1,PÍLLARO,ZONA 3,SANTIAGO DE PÍLLARO,1808,TUNGURAHUA,18
MOLINUCO,MOLINUCO 1,RUMIÑAHUI - MEJÍA,ZONA 2,RUMIÑAHUI,1705,PICHINCHA,17
OYACOTO,OYACOTO 1,CALDERÓN,ZONA 9,QUITO,1701,PICHINCHA,17
ENGABAO,ENGABAO 1,PLAYAS,ZONA 5,PLAYAS,921,GUAYAS,9
POMASQUI,POMASQUI 2,LA DELICIA,ZONA 9,QUITO,1701,PICHINCHA,17
EL PORTAL,EL PORTAL 1,TULCÁN,ZONA 1,TULCÁN,401,CARCHI,4
CONCORDIA NORTE,CONCORDIA NORTE 2,LA CONCORDIA,ZONA 4,LA CONCORDIA,2302,STO DGO DE LOS TSÁCHILAS,23
LOS CEREZOS,LOS CEREZOS 3,PORTOVIEJO,ZONA 4,PORTOVIEJO,1301,MANABÍ,13
TRONCAL OESTE,TRONCAL OESTE 1,LA TRONCAL,ZONA 6,LA TRONCAL,304,CAÑAR,3
SAMBORONDÓN,SAMBORONDÓN 1,SAMBORONDÓN,ZONA 8,SAMBORONDÓN,916,GUAYAS,9
CAYAMBE SUR,CAYAMBE SUR 2,CAYAMBE,ZONA 2,CAYAMBE,1702,PICHINCHA,17
REMIGIO CRESPO,REMIGIO CRESPO 1,GUALACEO,ZONA 6,GUALACEO,103,AZUAY,1
SIMÓN BOLÍVAR,SIMÓN BOLÍVAR 1,MACHALA,ZONA 7,MACHALA,701,EL ORO,7
COJIMIES,COJIMIES 1,PEDERNALES,ZONA 4,PEDERNALES,1317,MANABÍ,13
SAN FRANCISCO DE BORJA,SAN FRANCISCO DE BORJA 2,EL VALLE DE QUIJOS,ZONA 2,QUIJOS,1507,NAPO,15
MAPASINGUE,MAPASINGUE 4,FLORIDA,ZONA 8,GUAYAQUIL,901,GUAYAS,9
TRINITARIA NORTE,TRINITARIA NORTE 4,ESTEROS,ZONA 8,GUAYAQUIL,901,GUAYAS,9
HUACHI EL BELÉN,HUACHI EL BELÉN 2,AMBATO SUR,ZONA 3,AMBATO,1801,TUNGURAHUA,18
CATAMAYO NORTE,CATAMAYO NORTE 1,CATAMAYO,ZONA 7,CATAMAYO,1103,LOJA,11
LA FABRIL,LA FABRIL 1,MANTA,ZONA 4,MONTECRISTI,1309,MANABÍ,13
EL JORDÁN,EL JORDÁN 1,VALLE DEL AMANECER,ZONA 1,OTAVALO,1004,IMBABURA,10
MIÑARICA,MIÑARICA 2,AMBATO SUR,ZONA 3,AMBATO,1801,TUNGURAHUA,18
GALERAS,GALERAS 2,ATACAMES,ZONA 1,MUISNE,803,ESMERALDAS,8
TANDAPI,TANDAPI 1,RUMIÑAHUI - MEJÍA,ZONA 2,MEJÍA,1703,PICHINCHA,17
PABLO SEXTO,PABLO SEXTO 1,SANGAY,ZONA 6,PABLO SEXTO,1411,MORONA SANTIAGO,14
SANTA ANITA,SANTA ANITA 3,ELOY ALFARO - DMQ,ZONA 9,QUITO,1701,PICHINCHA,17
EL TRIUNFO OESTE,EL TRIUNFO OESTE 1,EL TRIUNFO BUCAY,ZONA 5,EL TRIUNFO,909,GUAYAS,9
LODANA,LODANA 1,24 DE MAYO,ZONA 4,SANTA ANA,1313,MANABÍ,13
CUMBAYÁ SUR,CUMBAYÁ SUR 2,TUMBACO,ZONA 9,QUITO,1701,PICHINCHA,17
ARENILLAS,ARENILLAS 1,HUAQUILLAS,ZONA 7,ARENILLAS,702,EL ORO,7
TARQUI,TARQUI 1,PASTAZA,ZONA 3,PASTAZA,1601,PASTAZA,16
LOS GUABOS,LOS GUABOS 2,VALLE DEL AMANECER,ZONA 1,ANTONIO ANTE,1002,IMBABURA,10
TIXAN,TIXAN 1,ALAUSÍ,ZONA 3,ALAUSÍ,602,CHIMBORAZO,6
CARCELÉN,CARCELÉN 2,LA DELICIA,ZONA 9,QUITO,1701,PICHINCHA,17
GARCÍA MORENO,GARCÍA MORENO 1,PATATE,ZONA 3,SAN PEDRO DE PELILEO,1807,TUNGURAHUA,18
CENTENARIO,CENTENARIO 5,SUR - DMG,ZONA 8,GUAYAQUIL,901,GUAYAS,9
COLECTIVA,COLECTIVA 2,ESMERALDAS,ZONA 1,ESMERALDAS,801,ESMERALDAS,8
QUIMIAG,QUIMIAG 1,RIOBAMBA,ZONA 3,RIOBAMBA,601,CHIMBORAZO,6
UCHUPUCUM,UCHUPUCUM 1,AZOGUES,ZONA 6,AZOGUES,301,CAÑAR,3
LA BRAMADORA,LA BRAMADORA 1,EL CARMEN,ZONA 4,EL CARMEN,1304,MANABÍ,13
PORTOVELO,PORTOVELO 1,ZARUMA,ZONA 7,PORTOVELO,711,EL ORO,7
9 DE OCTUBRE,9 DE OCTUBRE 1,MORONA,ZONA 6,MORONA,1401,MORONA SANTIAGO,14
PICHINCHA,PICHINCHA 1,PICHINCHA,ZONA 4,PICHINCHA,1311,MANABÍ,13
SARAYACU,SARAYACU 1,PASTAZA,ZONA 3,PASTAZA,1601,PASTAZA,16
VILCABAMBA,VILCABAMBA 1,LOJA,ZONA 7,LOJA,1101,LOJA,11
JIPIJAPA,JIPIJAPA 3,EUGENIO ESPEJO,ZONA 9,QUITO,1701,PICHINCHA,17
COLECTIVA,COLECTIVA 1,ESMERALDAS,ZONA 1,ESMERALDAS,801,ESMERALDAS,8
JUNCO,JUNCO 1,ROCAFUERTE,ZONA 4,TOSAGUA,1315,MANABÍ,13
ESTADIO,ESTADIO 2,CIUDAD BLANCA,ZONA 1,IBARRA,1001,IMBABURA,10
SAN JACINTO,SAN JACINTO 1,BALZAR,ZONA 5,COLIMES,905,GUAYAS,9
MONTALVO,MONTALVO 1,BABAHOYO,ZONA 5,MONTALVO,1203,LOS RÍOS,12
ARGELIA,ARGELIA 6,ELOY ALFARO - DMQ,ZONA 9,QUITO,1701,PICHINCHA,17
SAN BARTOLOME DE PINLLO,SAN BARTOLOME DE PINLLO 2,AMBATO NORTE,ZONA 3,AMBATO,1801,TUNGURAHUA,18
ALPAMALA,ALPAMALA 1,DANSANTE,ZONA 3,PUJILÍ,504,COTOPAXI,5
SANTA ELENA CENTRO,SANTA ELENA CENTRO 1,SANTA ELENA,ZONA 5,SANTA ELENA,2401,SANTA ELENA,24
TABABELA,TABABELA 1,TUMBACO,ZONA 9,QUITO,1701,PICHINCHA,17
PALESTINA,PALESTINA 1,RÍO VERDE,ZONA 1,RIOVERDE,807,ESMERALDAS,8
BAGATELA,BAGATELA 1,VINCES,ZONA 5,VINCES,1208,LOS RÍOS,12
SAN JOSÉ DE MINAS ORIENTE,SAN JOSÉ DE MINAS ORIENTE 1,LA DELICIA,ZONA 9,QUITO,1701,PICHINCHA,17
CONCORDIA NORTE,CONCORDIA NORTE 1,LA CONCORDIA,ZONA 4,LA CONCORDIA,2302,STO DGO DE LOS TSÁCHILAS,23
JAMA,JAMA 1,PEDERNALES,ZONA 4,JAMA,1320,MANABÍ,13
CALDERÓN,CALDERÓN 2,CALDERÓN,ZONA 9,QUITO,1701,PICHINCHA,17
MATA DE CACAO,MATA DE CACAO 3,BABAHOYO,ZONA 5,BABAHOYO,1201,LOS RÍOS,12
YANTZAZA,YANTZAZA 2,YANTZAZA,ZONA 7,YANTZAZA,1905,ZAMORA CHINCHIPE,19
TAISHA CENTRO,TAISHA CENTRO 1,TAISHA,ZONA 6,TAISHA,1409,MORONA SANTIAGO,14
LA MARISCAL,LA MARISCAL 7,EUGENIO ESPEJO,ZONA 9,QUITO,1701,PICHINCHA,17
TRES PUERTOS,TRES PUERTOS 1,CHONE,ZONA 4,CHONE,1303,MANABÍ,13
BECHE,BECHE 1,PEDERNALES,ZONA 4,PEDERNALES,1317,MANABÍ,13
DIVINO NIÑO,DIVINO NIÑO 3,QUEVEDO,ZONA 5,QUEVEDO,1205,LOS RÍOS,12
TERMINAL TERRESTRE,TERMINAL TERRESTRE 1,BABAHOYO,ZONA 5,BABAHOYO,1201,LOS RÍOS,12
ATAHUALPA,ATAHUALPA 1,AMBATO NORTE,ZONA 3,AMBATO,1801,TUNGURAHUA,18
9 DE OCTUBRE,9 DE OCTUBRE 6,9 DE OCTUBRE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
MAGDALENA,MAGDALENA 2,ELOY ALFARO - DMQ,ZONA 9,QUITO,1701,PICHINCHA,17
EL NOGAL,EL NOGAL 1,CIUDAD BLANCA,ZONA 1,IBARRA,1001,IMBABURA,10
SAN PEDRO,SAN PEDRO 1,MILAGRO,ZONA 5,MILAGRO,910,GUAYAS,9
SABANILLA,SABANILLA 1,PEDRO CARBO,ZONA 5,PEDRO CARBO,914,GUAYAS,9
ESTADIO,ESTADIO 1,CIUDAD BLANCA,ZONA 1,IBARRA,1001,IMBABURA,10
MURCIÉLAGO,MURCIÉLAGO 2,MANTA,ZONA 4,MANTA,1308,MANABÍ,13
MONJAS COLLACOTO,MONJAS COLLACOTO 2,MANUELA SÁENZ,ZONA 9,QUITO,1701,PICHINCHA,17
EL CONDADO,EL CONDADO 3,LA DELICIA,ZONA 9,QUITO,1701,PICHINCHA,17
RICAURTE,RICAURTE 1,PUEBLOVIEJO,ZONA 5,URDANETA,1206,LOS RÍOS,12
LA ESTACIÓN,LA ESTACIÓN 1,RIOBAMBA,ZONA 3,RIOBAMBA,601,CHIMBORAZO,6
PILAHUIN,PILAHUIN 2,AMBATO SUR,ZONA 3,AMBATO,1801,TUNGURAHUA,18
SÍGSIG,SÍGSIG 2,SÍGSIG,ZONA 6,SÍGSIG,109,AZUAY,1
EL NOGAL,EL NOGAL 2,CIUDAD BLANCA,ZONA 1,IBARRA,1001,IMBABURA,10
EL ÁNGEL,EL ÁNGEL 2,ESPEJO,ZONA 1,ESPEJO,403,CARCHI,4
MACHACHI NORTE,MACHACHI NORTE 1,RUMIÑAHUI - MEJÍA,ZONA 2,MEJÍA,1703,PICHINCHA,17
LA INDEPENDENCIA,LA INDEPENDENCIA 1,QUININDÉ,ZONA 1,QUININDÉ,804,ESMERALDAS,8
LA UNIÓN,LA UNIÓN 1,24 DE MAYO,ZONA 4,SANTA ANA,1313,MANABÍ,13
15 DE MAYO,15 DE MAYO 1,GUARANDA,ZONA 5,GUARANDA,201,BOLÍVAR,2
ZUMBA,ZUMBA 1,CHINCHIPE,ZONA 7,CHINCHIPE,1902,ZAMORA CHINCHIPE,19
NAMBACOLA,NAMBACOLA 1,CALVAS,ZONA 7,GONZANAMÁ,1107,LOJA,11
LA LIBERTAD,LA LIBERTAD 2,MANUELA SÁENZ,ZONA 9,QUITO,1701,PICHINCHA,17
SAN LUIS DE ARMENIA,SAN LUIS DE ARMENIA 1,ORELLANA LORETO,ZONA 2,FRANCISCO DE ORELLANA,2201,ORELLANA,22
LA FABRIL,LA FABRIL 2,MANTA,ZONA 4,MONTECRISTI,1309,MANABÍ,13
PALMA ROJA,PALMA ROJA 1,PUTUMAYO,ZONA 1,PUTUMAYO,2103,SUCUMBÍOS,21
MORASPUNGO,MORASPUNGO 1,PANGUA,ZONA 3,PANGUA,503,COTOPAXI,5
LIBERTAD CENTRO,LIBERTAD CENTRO 4,LIBERTAD SALINAS,ZONA 5,LA LIBERTAD,2402,SANTA ELENA,24
CAMINOS AL SOL,CAMINOS AL SOL 1,RIOBAMBA,ZONA 3,RIOBAMBA,601,CHIMBORAZO,6
CENTRO,CENTRO 1,BABAHOYO,ZONA 5,BABAHOYO,1201,LOS RÍOS,12
GARAY,GARAY 4,9 DE OCTUBRE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
MONTE BELLO,MONTE BELLO 2,PASCUALES,ZONA 8,GUAYAQUIL,901,GUAYAS,9
TRINITARIA SUR,TRINITARIA SUR 4,ESTEROS,ZONA 8,GUAYAQUIL,901,GUAYAS,9
VENTANAS CENTRO,VENTANAS CENTRO 1,VENTANAS,ZONA 5,VENTANAS,1207,LOS RÍOS,12
URDESA,URDESA 1,MODELO,ZONA 8,GUAYAQUIL,901,GUAYAS,9
EL MAESTRO,EL MAESTRO 1,TULCÁN,ZONA 1,TULCÁN,401,CARCHI,4
JADAN,JADAN 1,GUALACEO,ZONA 6,GUALACEO,103,AZUAY,1
OCHOA LEÓN,OCHOA LEÓN 1,PASAJE,ZONA 7,PASAJE,709,EL ORO,7
LUDO,LUDO 1,SÍGSIG,ZONA 6,SÍGSIG,109,AZUAY,1
JUAN MONTALVO,JUAN MONTALVO 4,FLORIDA,ZONA 8,GUAYAQUIL,901,GUAYAS,9
LUZ DE AMÉRICA,LUZ DE AMÉRICA 1,SANTO DOMINGO ESTE,ZONA 4,SANTO DOMINGO,2301,STO DGO DE LOS TSÁCHILAS,23
LIMONCOCHA,LIMONCOCHA 1,SHUSHUFINDI,ZONA 1,SHUSHUFINDI,2104,SUCUMBÍOS,21
CHILA,CHILA 1,SANTO DOMINGO OESTE,ZONA 4,SANTO DOMINGO,2301,STO DGO DE LOS TSÁCHILAS,23
HUACHI EL BELÉN,HUACHI EL BELÉN 1,AMBATO SUR,ZONA 3,AMBATO,1801,TUNGURAHUA,18
GENERAL PROAÑO,GENERAL PROAÑO 1,MORONA,ZONA 6,MORONA,1401,MORONA SANTIAGO,14
BUENA VISTA,BUENA VISTA 1,PASAJE,ZONA 7,PASAJE,709,EL ORO,7
TABLÓN,TABLÓN 1,TUMBACO,ZONA 9,QUITO,1701,PICHINCHA,17
JULIO MORENO,JULIO MORENO 1,SANTA ELENA,ZONA 5,SANTA ELENA,2401,SANTA ELENA,24
LA PAZ,LA PAZ 1,ZAMORA,ZONA 7,YACUAMBI,1904,ZAMORA CHINCHIPE,19
PANECILLO,PANECILLO 5,MANUELA SÁENZ,ZONA 9,QUITO,1701,PICHINCHA,17
PONCIANO,PONCIANO 3,LA DELICIA,ZONA 9,QUITO,1701,PICHINCHA,17
CALACALI,CALACALI 1,LA DELICIA,ZONA 9,QUITO,1701,PICHINCHA,17
SIMIATUG,SIMIATUG 1,GUARANDA,ZONA 5,GUARANDA,201,BOLÍVAR,2
LA MANÁ SUR,LA MANÁ SUR 2,LA MANÁ,ZONA 3,LA MANÁ,502,COTOPAXI,5
ANTONIO SOTOMAYOR,ANTONIO SOTOMAYOR 1,VINCES,ZONA 5,VINCES,1208,LOS RÍOS,12
LAS LOJAS,LAS LOJAS 1,DAULE,ZONA 5,DAULE,906,GUAYAS,9
SANTA MARTHA NORTE,SANTA MARTHA NORTE 1,SANTO DOMINGO ESTE,ZONA 4,SANTO DOMINGO,2301,STO DGO DE LOS TSÁCHILAS,23
SANTA MARTHA NORTE,SANTA MARTHA NORTE 2,SANTO DOMINGO ESTE,ZONA 4,SANTO DOMINGO,2301,STO DGO DE LOS TSÁCHILAS,23
MONTALVO,MONTALVO 3,RÍO VERDE,ZONA 1,RIOVERDE,807,ESMERALDAS,8
POLITÉCNICA,POLITÉCNICA 1,RIOBAMBA,ZONA 3,RIOBAMBA,601,CHIMBORAZO,6
OLÍMPICO,OLÍMPICO 1,TULCÁN,ZONA 1,TULCÁN,401,CARCHI,4
NANEGALITO,NANEGALITO 1,NANEGAL,ZONA 9,QUITO,1701,PICHINCHA,17
LA MERCED,LA MERCED 1,LOS CHILLOS,ZONA 9,QUITO,1701,PICHINCHA,17
VISALTUR,VISALTUR 1,MILAGRO,ZONA 5,MILAGRO,910,GUAYAS,9
CRUCITA,CRUCITA 1,PORTOVIEJO,ZONA 4,PORTOVIEJO,1301,MANABÍ,13
CUSUBAMBA,CUSUBAMBA 1,SALCEDO,ZONA 3,SALCEDO,505,COTOPAXI,5
ALBORADA,ALBORADA 2,MODELO,ZONA 8,GUAYAQUIL,901,GUAYAS,9
PACAYACU,PACAYACU 2,LAGO AGRIO,ZONA 1,LAGO AGRIO,2101,SUCUMBÍOS,21
CUSUBAMBA,CUSUBAMBA 2,CAYAMBE,ZONA 2,CAYAMBE,1702,PICHINCHA,17
PUENTE LUCÍA,PUENTE LUCÍA 2,PASCUALES,ZONA 8,GUAYAQUIL,901,GUAYAS,9
LA PROVIDENCIA,LA PROVIDENCIA 1,MACHALA,ZONA 7,MACHALA,701,EL ORO,7
BELLAVISTA,BELLAVISTA 1,CUENCA NORTE,ZONA 6,CUENCA,101,AZUAY,1
RUMIÑAHUI,RUMIÑAHUI 2,RUMIÑAHUI - MEJÍA,ZONA 2,RUMIÑAHUI,1705,PICHINCHA,17
CHONTACRUZ,CHONTACRUZ 1,LOJA,ZONA 7,LOJA,1101,LOJA,11
PUERTO LAGO,PUERTO LAGO 1,VALLE DEL AMANECER,ZONA 1,OTAVALO,1004,IMBABURA,10
LAS CORONAS,LAS CORONAS 1,SUCRE,ZONA 4,SUCRE,1314,MANABÍ,13
PUENGASÍ,PUENGASÍ 2,MANUELA SÁENZ,ZONA 9,QUITO,1701,PICHINCHA,17
CENTRO,CENTRO 1,DURÁN,ZONA 8,DURÁN,907,GUAYAS,9
SANTA MARTHA SUR,SANTA MARTHA SUR 2,SANTO DOMINGO ESTE,ZONA 4,SANTO DOMINGO,2301,STO DGO DE LOS TSÁCHILAS,23
MARTHA DE ROLDÓS,MARTHA DE ROLDÓS 5,FLORIDA,ZONA 8,GUAYAQUIL,901,GUAYAS,9
GUALAQUIZA,GUALAQUIZA 2,SUR - MORONA,ZONA 6,GUALAQUIZA,1402,MORONA SANTIAGO,14
